Compound_Name_CAS,SMILES_Structure,DPRA_Depletion_%,KeratinoSens_EC150_uM,Docking_DeltaG_kcal,Bayesian_Probability_%,Regulatory_Classification
Benchmark_Compound_0572 (CAS 200572-2),O=CC=CC1=CC=CC=C1,76.6,315.3,-3.06,96.4,Non-Sensitizer
Benchmark_Compound_0573 (CAS 200573-3),O=CC=CC1=CC=CC=C1,43.7,1318.0,-3.61,53.7,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0574 (CAS 200574-4),O=CC=CC1=CC=CC=C1,62.9,1320.6,-6.46,62.7,Non-Sensitizer
Benchmark_Compound_0575 (CAS 200575-5),O=CC=CC1=CC=CC=C1,83.3,1307.2,-7.43,27.2,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0576 (CAS 200576-6),O=CC=CC1=CC=CC=C1,90.7,365.8,-5.81,50.4,Non-Sensitizer
Benchmark_Compound_0577 (CAS 200577-7),O=CC=CC1=CC=CC=C1,22.5,682.3,-4.42,45.3,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0578 (CAS 200578-8),O=CC=CC1=CC=CC=C1,88.8,1477.6,-5.79,12.0,Non-Sensitizer
Benchmark_Compound_0579 (CAS 200579-9),O=CC=CC1=CC=CC=C1,51.8,1160.3,-5.84,15.0,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0580 (CAS 200580-0),O=CC=CC1=CC=CC=C1,32.0,50.5,-3.89,83.7,Non-Sensitizer
Benchmark_Compound_0581 (CAS 200581-1),O=CC=CC1=CC=CC=C1,49.0,107.2,-6.51,27.5,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0582 (CAS 200582-2),O=CC=CC1=CC=CC=C1,93.3,701.3,-3.77,23.3,Non-Sensitizer
Benchmark_Compound_0583 (CAS 200583-3),O=CC=CC1=CC=CC=C1,51.9,1364.7,-6.26,52.5,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0584 (CAS 200584-4),O=CC=CC1=CC=CC=C1,37.9,812.7,-6.69,77.3,Non-Sensitizer
Benchmark_Compound_0585 (CAS 200585-5),O=CC=CC1=CC=CC=C1,63.8,751.7,-6.0,10.8,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0586 (CAS 200586-6),O=CC=CC1=CC=CC=C1,30.4,167.2,-4.31,59.2,Non-Sensitizer
Benchmark_Compound_0587 (CAS 200587-7),O=CC=CC1=CC=CC=C1,16.4,988.6,-7.81,16.2,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0588 (CAS 200588-8),O=CC=CC1=CC=CC=C1,21.0,1234.9,-7.42,8.4,Non-Sensitizer
Benchmark_Compound_0589 (CAS 200589-9),O=CC=CC1=CC=CC=C1,20.9,576.8,-3.27,10.0,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0590 (CAS 200590-0),O=CC=CC1=CC=CC=C1,22.9,1165.7,-7.53,83.4,Non-Sensitizer
Benchmark_Compound_0591 (CAS 200591-1),O=CC=CC1=CC=CC=C1,21.8,1447.1,-5.38,16.1,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0592 (CAS 200592-2),O=CC=CC1=CC=CC=C1,64.5,313.6,-5.31,9.2,Non-Sensitizer
Benchmark_Compound_0593 (CAS 200593-3),O=CC=CC1=CC=CC=C1,25.5,789.8,-5.81,46.2,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0594 (CAS 200594-4),O=CC=CC1=CC=CC=C1,39.4,437.8,-4.95,84.3,Non-Sensitizer
Benchmark_Compound_0595 (CAS 200595-5),O=CC=CC1=CC=CC=C1,86.2,1191.4,-7.24,29.7,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0596 (CAS 200596-6),O=CC=CC1=CC=CC=C1,50.3,870.6,-5.46,44.6,Non-Sensitizer
Benchmark_Compound_0597 (CAS 200597-7),O=CC=CC1=CC=CC=C1,66.7,955.5,-6.45,8.8,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0598 (CAS 200598-8),O=CC=CC1=CC=CC=C1,24.6,1198.9,-4.86,47.2,Non-Sensitizer
Benchmark_Compound_0599 (CAS 200599-9),O=CC=CC1=CC=CC=C1,26.3,600.0,-7.72,59.3,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0600 (CAS 200600-0),O=CC=CC1=CC=CC=C1,13.5,1373.5,-5.36,58.7,Non-Sensitizer
Benchmark_Compound_0601 (CAS 200601-1),O=CC=CC1=CC=CC=C1,24.4,804.2,-7.48,36.2,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0602 (CAS 200602-2),O=CC=CC1=CC=CC=C1,33.7,245.4,-6.97,34.7,Non-Sensitizer
Benchmark_Compound_0603 (CAS 200603-3),O=CC=CC1=CC=CC=C1,25.0,1046.9,-7.3,15.0,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0604 (CAS 200604-4),O=CC=CC1=CC=CC=C1,17.5,1192.0,-7.49,39.5,Non-Sensitizer
Benchmark_Compound_0605 (CAS 200605-5),O=CC=CC1=CC=CC=C1,20.3,482.0,-3.96,14.4,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0606 (CAS 200606-6),O=CC=CC1=CC=CC=C1,49.2,1287.2,-6.93,77.1,Non-Sensitizer
Benchmark_Compound_0607 (CAS 200607-7),O=CC=CC1=CC=CC=C1,27.5,1360.2,-3.4,95.8,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0608 (CAS 200608-8),O=CC=CC1=CC=CC=C1,41.0,422.6,-3.17,96.2,Non-Sensitizer
Benchmark_Compound_0609 (CAS 200609-9),O=CC=CC1=CC=CC=C1,52.8,1475.4,-5.36,86.3,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0610 (CAS 200610-0),O=CC=CC1=CC=CC=C1,68.7,219.7,-7.71,61.5,Non-Sensitizer
Benchmark_Compound_0611 (CAS 200611-1),O=CC=CC1=CC=CC=C1,13.3,311.0,-6.44,70.9,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0612 (CAS 200612-2),O=CC=CC1=CC=CC=C1,77.9,284.5,-4.11,31.8,Non-Sensitizer
Benchmark_Compound_0613 (CAS 200613-3),O=CC=CC1=CC=CC=C1,63.4,1342.0,-6.48,64.3,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0614 (CAS 200614-4),O=CC=CC1=CC=CC=C1,16.9,984.9,-8.02,47.8,Non-Sensitizer
Benchmark_Compound_0615 (CAS 200615-5),O=CC=CC1=CC=CC=C1,84.3,236.6,-5.44,50.3,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0616 (CAS 200616-6),O=CC=CC1=CC=CC=C1,88.3,666.1,-3.85,76.2,Non-Sensitizer
Benchmark_Compound_0617 (CAS 200617-7),O=CC=CC1=CC=CC=C1,15.2,926.8,-4.12,31.5,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0618 (CAS 200618-8),O=CC=CC1=CC=CC=C1,33.5,134.4,-7.54,34.9,Non-Sensitizer
Benchmark_Compound_0619 (CAS 200619-9),O=CC=CC1=CC=CC=C1,78.5,1324.8,-4.8,91.9,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0620 (CAS 200620-0),O=CC=CC1=CC=CC=C1,73.6,1207.4,-7.29,10.3,Non-Sensitizer
Benchmark_Compound_0621 (CAS 200621-1),O=CC=CC1=CC=CC=C1,25.7,762.8,-7.3,50.6,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0622 (CAS 200622-2),O=CC=CC1=CC=CC=C1,27.8,1451.0,-3.69,90.8,Non-Sensitizer
Benchmark_Compound_0623 (CAS 200623-3),O=CC=CC1=CC=CC=C1,41.5,632.5,-7.13,62.4,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0624 (CAS 200624-4),O=CC=CC1=CC=CC=C1,51.2,1476.3,-7.05,56.4,Non-Sensitizer
Benchmark_Compound_0625 (CAS 200625-5),O=CC=CC1=CC=CC=C1,62.6,1005.2,-8.5,28.5,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0626 (CAS 200626-6),O=CC=CC1=CC=CC=C1,41.4,955.7,-3.71,37.3,Non-Sensitizer
Benchmark_Compound_0627 (CAS 200627-7),O=CC=CC1=CC=CC=C1,49.3,257.3,-4.14,85.1,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0628 (CAS 200628-8),O=CC=CC1=CC=CC=C1,73.5,1324.1,-5.05,57.6,Non-Sensitizer
Benchmark_Compound_0629 (CAS 200629-9),O=CC=CC1=CC=CC=C1,13.1,647.0,-4.37,53.4,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0630 (CAS 200630-0),O=CC=CC1=CC=CC=C1,31.5,251.7,-7.66,14.4,Non-Sensitizer
Benchmark_Compound_0631 (CAS 200631-1),O=CC=CC1=CC=CC=C1,70.6,28.8,-5.98,6.5,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0632 (CAS 200632-2),O=CC=CC1=CC=CC=C1,86.1,844.0,-6.57,95.6,Non-Sensitizer
Benchmark_Compound_0633 (CAS 200633-3),O=CC=CC1=CC=CC=C1,53.5,795.8,-7.98,40.4,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0634 (CAS 200634-4),O=CC=CC1=CC=CC=C1,55.2,1081.8,-5.83,61.7,Non-Sensitizer
Benchmark_Compound_0635 (CAS 200635-5),O=CC=CC1=CC=CC=C1,19.1,1336.5,-3.44,12.5,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0636 (CAS 200636-6),O=CC=CC1=CC=CC=C1,48.0,128.3,-8.28,69.2,Non-Sensitizer
Benchmark_Compound_0637 (CAS 200637-7),O=CC=CC1=CC=CC=C1,55.3,1099.9,-6.9,92.7,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0638 (CAS 200638-8),O=CC=CC1=CC=CC=C1,30.6,289.2,-7.36,59.1,Non-Sensitizer
Benchmark_Compound_0639 (CAS 200639-9),O=CC=CC1=CC=CC=C1,32.9,1288.7,-7.19,16.9,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0640 (CAS 200640-0),O=CC=CC1=CC=CC=C1,42.1,1230.4,-3.5,59.7,Non-Sensitizer
Benchmark_Compound_0641 (CAS 200641-1),O=CC=CC1=CC=CC=C1,11.7,815.8,-5.93,77.0,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0642 (CAS 200642-2),O=CC=CC1=CC=CC=C1,37.4,1068.3,-5.94,43.2,Non-Sensitizer
Benchmark_Compound_0643 (CAS 200643-3),O=CC=CC1=CC=CC=C1,28.0,478.4,-4.32,87.7,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0644 (CAS 200644-4),O=CC=CC1=CC=CC=C1,37.8,712.0,-7.65,66.0,Non-Sensitizer
Benchmark_Compound_0645 (CAS 200645-5),O=CC=CC1=CC=CC=C1,20.2,1234.2,-5.82,89.5,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0646 (CAS 200646-6),O=CC=CC1=CC=CC=C1,85.7,694.3,-6.14,63.6,Non-Sensitizer
Benchmark_Compound_0647 (CAS 200647-7),O=CC=CC1=CC=CC=C1,60.5,543.1,-5.22,17.3,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0648 (CAS 200648-8),O=CC=CC1=CC=CC=C1,67.7,746.4,-3.0,34.1,Non-Sensitizer
Benchmark_Compound_0649 (CAS 200649-9),O=CC=CC1=CC=CC=C1,77.1,1244.1,-4.27,24.0,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0650 (CAS 200650-0),O=CC=CC1=CC=CC=C1,52.4,509.5,-6.31,90.4,Non-Sensitizer
Benchmark_Compound_0651 (CAS 200651-1),O=CC=CC1=CC=CC=C1,17.4,268.9,-3.95,76.5,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0652 (CAS 200652-2),O=CC=CC1=CC=CC=C1,55.7,1070.9,-7.56,68.6,Non-Sensitizer
Benchmark_Compound_0653 (CAS 200653-3),O=CC=CC1=CC=CC=C1,59.9,1240.7,-8.33,33.3,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0654 (CAS 200654-4),O=CC=CC1=CC=CC=C1,73.4,159.9,-7.38,22.3,Non-Sensitizer
Benchmark_Compound_0655 (CAS 200655-5),O=CC=CC1=CC=CC=C1,46.7,367.4,-6.63,76.1,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0656 (CAS 200656-6),O=CC=CC1=CC=CC=C1,20.8,221.5,-5.69,49.6,Non-Sensitizer
Benchmark_Compound_0657 (CAS 200657-7),O=CC=CC1=CC=CC=C1,34.1,528.4,-5.12,26.2,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0658 (CAS 200658-8),O=CC=CC1=CC=CC=C1,40.9,681.0,-3.49,63.0,Non-Sensitizer
Benchmark_Compound_0659 (CAS 200659-9),O=CC=CC1=CC=CC=C1,64.9,1125.8,-5.7,8.8,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0660 (CAS 200660-0),O=CC=CC1=CC=CC=C1,58.5,980.2,-5.74,35.7,Non-Sensitizer
Benchmark_Compound_0661 (CAS 200661-1),O=CC=CC1=CC=CC=C1,40.3,935.2,-8.22,49.0,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0662 (CAS 200662-2),O=CC=CC1=CC=CC=C1,93.9,535.0,-8.31,18.9,Non-Sensitizer
Benchmark_Compound_0663 (CAS 200663-3),O=CC=CC1=CC=CC=C1,61.5,1263.8,-5.47,97.6,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0664 (CAS 200664-4),O=CC=CC1=CC=CC=C1,30.2,712.2,-6.09,24.7,Non-Sensitizer
Benchmark_Compound_0665 (CAS 200665-5),O=CC=CC1=CC=CC=C1,18.7,1468.9,-3.88,17.3,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0666 (CAS 200666-6),O=CC=CC1=CC=CC=C1,23.0,954.9,-7.62,24.1,Non-Sensitizer
Benchmark_Compound_0667 (CAS 200667-7),O=CC=CC1=CC=CC=C1,30.9,198.1,-8.36,77.3,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0668 (CAS 200668-8),O=CC=CC1=CC=CC=C1,23.7,1017.5,-6.03,45.0,Non-Sensitizer
Benchmark_Compound_0669 (CAS 200669-9),O=CC=CC1=CC=CC=C1,25.9,494.4,-7.19,58.1,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0670 (CAS 200670-0),O=CC=CC1=CC=CC=C1,34.2,1032.6,-8.23,7.0,Non-Sensitizer
Benchmark_Compound_0671 (CAS 200671-1),O=CC=CC1=CC=CC=C1,24.7,113.8,-4.51,8.2,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0672 (CAS 200672-2),O=CC=CC1=CC=CC=C1,86.2,270.6,-7.89,46.9,Non-Sensitizer
Benchmark_Compound_0673 (CAS 200673-3),O=CC=CC1=CC=CC=C1,16.8,1285.0,-5.15,81.8,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0674 (CAS 200674-4),O=CC=CC1=CC=CC=C1,54.6,348.5,-6.95,88.2,Non-Sensitizer
Benchmark_Compound_0675 (CAS 200675-5),O=CC=CC1=CC=CC=C1,44.9,1257.2,-7.55,13.2,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0676 (CAS 200676-6),O=CC=CC1=CC=CC=C1,93.5,426.1,-6.41,55.6,Non-Sensitizer
Benchmark_Compound_0677 (CAS 200677-7),O=CC=CC1=CC=CC=C1,19.5,967.9,-4.09,90.8,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0678 (CAS 200678-8),O=CC=CC1=CC=CC=C1,43.8,1044.3,-6.34,41.5,Non-Sensitizer
Benchmark_Compound_0679 (CAS 200679-9),O=CC=CC1=CC=CC=C1,92.4,773.9,-4.37,83.0,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0680 (CAS 200680-0),O=CC=CC1=CC=CC=C1,83.6,464.9,-7.81,17.6,Non-Sensitizer
Benchmark_Compound_0681 (CAS 200681-1),O=CC=CC1=CC=CC=C1,79.5,326.8,-4.25,92.9,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0682 (CAS 200682-2),O=CC=CC1=CC=CC=C1,31.9,59.5,-7.2,75.6,Non-Sensitizer
Benchmark_Compound_0683 (CAS 200683-3),O=CC=CC1=CC=CC=C1,24.5,462.9,-4.77,93.5,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0684 (CAS 200684-4),O=CC=CC1=CC=CC=C1,66.8,983.2,-5.39,68.6,Non-Sensitizer
Benchmark_Compound_0685 (CAS 200685-5),O=CC=CC1=CC=CC=C1,89.0,1408.1,-3.39,39.2,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0686 (CAS 200686-6),O=CC=CC1=CC=CC=C1,57.3,1308.1,-6.37,93.2,Non-Sensitizer
Benchmark_Compound_0687 (CAS 200687-7),O=CC=CC1=CC=CC=C1,58.6,1151.4,-8.14,30.9,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0688 (CAS 200688-8),O=CC=CC1=CC=CC=C1,33.8,1184.8,-8.39,36.2,Non-Sensitizer
Benchmark_Compound_0689 (CAS 200689-9),O=CC=CC1=CC=CC=C1,75.4,1000.8,-3.95,70.9,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0690 (CAS 200690-0),O=CC=CC1=CC=CC=C1,25.9,397.8,-5.61,76.9,Non-Sensitizer
Benchmark_Compound_0691 (CAS 200691-1),O=CC=CC1=CC=CC=C1,37.5,1361.7,-4.24,92.4,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0692 (CAS 200692-2),O=CC=CC1=CC=CC=C1,46.2,1009.4,-7.21,24.3,Non-Sensitizer
Benchmark_Compound_0693 (CAS 200693-3),O=CC=CC1=CC=CC=C1,53.1,845.1,-6.6,80.0,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0694 (CAS 200694-4),O=CC=CC1=CC=CC=C1,30.6,175.4,-8.33,74.4,Non-Sensitizer
Benchmark_Compound_0695 (CAS 200695-5),O=CC=CC1=CC=CC=C1,19.8,676.1,-3.21,11.0,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0696 (CAS 200696-6),O=CC=CC1=CC=CC=C1,61.9,695.9,-4.83,41.4,Non-Sensitizer
Benchmark_Compound_0697 (CAS 200697-7),O=CC=CC1=CC=CC=C1,34.5,1298.2,-3.37,31.6,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0698 (CAS 200698-8),O=CC=CC1=CC=CC=C1,59.4,824.5,-7.04,33.6,Non-Sensitizer
Benchmark_Compound_0699 (CAS 200699-9),O=CC=CC1=CC=CC=C1,23.1,576.8,-5.14,97.4,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0700 (CAS 200700-0),O=CC=CC1=CC=CC=C1,50.9,1465.4,-4.77,65.4,Non-Sensitizer
Benchmark_Compound_0701 (CAS 200701-1),O=CC=CC1=CC=CC=C1,55.3,175.0,-6.75,72.5,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0702 (CAS 200702-2),O=CC=CC1=CC=CC=C1,14.4,639.6,-3.84,96.8,Non-Sensitizer
Benchmark_Compound_0703 (CAS 200703-3),O=CC=CC1=CC=CC=C1,38.6,72.6,-3.29,40.5,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0704 (CAS 200704-4),O=CC=CC1=CC=CC=C1,21.4,1112.5,-3.63,80.4,Non-Sensitizer
Benchmark_Compound_0705 (CAS 200705-5),O=CC=CC1=CC=CC=C1,15.4,1377.9,-4.44,45.8,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0706 (CAS 200706-6),O=CC=CC1=CC=CC=C1,94.1,427.3,-6.97,86.7,Non-Sensitizer
Benchmark_Compound_0707 (CAS 200707-7),O=CC=CC1=CC=CC=C1,37.4,1288.9,-6.95,22.0,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0708 (CAS 200708-8),O=CC=CC1=CC=CC=C1,78.8,445.4,-3.2,94.1,Non-Sensitizer
Benchmark_Compound_0709 (CAS 200709-9),O=CC=CC1=CC=CC=C1,31.6,1367.0,-8.44,25.6,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0710 (CAS 200710-0),O=CC=CC1=CC=CC=C1,67.9,1133.4,-4.56,35.7,Non-Sensitizer
Benchmark_Compound_0711 (CAS 200711-1),O=CC=CC1=CC=CC=C1,74.6,1209.3,-4.62,76.1,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0712 (CAS 200712-2),O=CC=CC1=CC=CC=C1,60.6,36.8,-5.08,42.0,Non-Sensitizer
Benchmark_Compound_0713 (CAS 200713-3),O=CC=CC1=CC=CC=C1,50.1,1444.6,-3.05,62.2,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0714 (CAS 200714-4),O=CC=CC1=CC=CC=C1,45.0,1092.7,-6.78,46.8,Non-Sensitizer
Benchmark_Compound_0715 (CAS 200715-5),O=CC=CC1=CC=CC=C1,39.7,464.1,-6.63,74.8,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0716 (CAS 200716-6),O=CC=CC1=CC=CC=C1,89.0,1245.8,-8.07,26.5,Non-Sensitizer
Benchmark_Compound_0717 (CAS 200717-7),O=CC=CC1=CC=CC=C1,80.6,429.5,-6.06,10.5,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0718 (CAS 200718-8),O=CC=CC1=CC=CC=C1,92.0,1310.4,-7.06,33.2,Non-Sensitizer
Benchmark_Compound_0719 (CAS 200719-9),O=CC=CC1=CC=CC=C1,20.6,177.7,-6.61,49.6,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0720 (CAS 200720-0),O=CC=CC1=CC=CC=C1,72.1,1058.5,-3.91,20.8,Non-Sensitizer
Benchmark_Compound_0721 (CAS 200721-1),O=CC=CC1=CC=CC=C1,89.8,815.6,-3.35,38.4,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0722 (CAS 200722-2),O=CC=CC1=CC=CC=C1,25.4,153.8,-7.48,42.6,Non-Sensitizer
Benchmark_Compound_0723 (CAS 200723-3),O=CC=CC1=CC=CC=C1,15.7,370.4,-6.45,10.4,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0724 (CAS 200724-4),O=CC=CC1=CC=CC=C1,73.0,28.5,-3.39,59.8,Non-Sensitizer
Benchmark_Compound_0725 (CAS 200725-5),O=CC=CC1=CC=CC=C1,58.8,708.5,-8.16,88.1,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0726 (CAS 200726-6),O=CC=CC1=CC=CC=C1,81.6,458.9,-7.99,19.3,Non-Sensitizer
Benchmark_Compound_0727 (CAS 200727-7),O=CC=CC1=CC=CC=C1,21.9,901.6,-7.6,61.2,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0728 (CAS 200728-8),O=CC=CC1=CC=CC=C1,77.6,452.9,-5.23,67.5,Non-Sensitizer
Benchmark_Compound_0729 (CAS 200729-9),O=CC=CC1=CC=CC=C1,27.1,456.9,-7.67,44.4,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0730 (CAS 200730-0),O=CC=CC1=CC=CC=C1,23.9,1117.4,-3.18,70.9,Non-Sensitizer
Benchmark_Compound_0731 (CAS 200731-1),O=CC=CC1=CC=CC=C1,24.0,81.7,-6.04,43.6,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0732 (CAS 200732-2),O=CC=CC1=CC=CC=C1,79.2,1355.3,-5.74,52.4,Non-Sensitizer
Benchmark_Compound_0733 (CAS 200733-3),O=CC=CC1=CC=CC=C1,66.5,1279.9,-7.14,5.7,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0734 (CAS 200734-4),O=CC=CC1=CC=CC=C1,54.5,1005.0,-5.91,70.0,Non-Sensitizer
Benchmark_Compound_0735 (CAS 200735-5),O=CC=CC1=CC=CC=C1,40.5,893.9,-4.86,67.2,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0736 (CAS 200736-6),O=CC=CC1=CC=CC=C1,84.6,1339.5,-4.37,8.6,Non-Sensitizer
Benchmark_Compound_0737 (CAS 200737-7),O=CC=CC1=CC=CC=C1,43.4,286.1,-4.35,39.6,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0738 (CAS 200738-8),O=CC=CC1=CC=CC=C1,79.4,127.7,-5.32,97.0,Non-Sensitizer
Benchmark_Compound_0739 (CAS 200739-9),O=CC=CC1=CC=CC=C1,47.3,366.9,-3.53,44.5,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0740 (CAS 200740-0),O=CC=CC1=CC=CC=C1,42.0,1193.9,-4.0,52.2,Non-Sensitizer
Benchmark_Compound_0741 (CAS 200741-1),O=CC=CC1=CC=CC=C1,49.3,61.7,-4.34,90.5,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0742 (CAS 200742-2),O=CC=CC1=CC=CC=C1,35.6,878.4,-8.19,72.4,Non-Sensitizer
Benchmark_Compound_0743 (CAS 200743-3),O=CC=CC1=CC=CC=C1,73.5,1493.2,-8.46,59.7,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0744 (CAS 200744-4),O=CC=CC1=CC=CC=C1,52.7,1285.0,-7.33,80.0,Non-Sensitizer
Benchmark_Compound_0745 (CAS 200745-5),O=CC=CC1=CC=CC=C1,29.7,787.0,-4.85,86.3,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0746 (CAS 200746-6),O=CC=CC1=CC=CC=C1,86.5,104.8,-6.24,47.9,Non-Sensitizer
Benchmark_Compound_0747 (CAS 200747-7),O=CC=CC1=CC=CC=C1,42.6,1248.7,-6.29,49.7,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0748 (CAS 200748-8),O=CC=CC1=CC=CC=C1,56.2,902.5,-3.63,41.3,Non-Sensitizer
Benchmark_Compound_0749 (CAS 200749-9),O=CC=CC1=CC=CC=C1,87.1,181.3,-3.57,95.9,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0750 (CAS 200750-0),O=CC=CC1=CC=CC=C1,63.1,149.8,-3.5,70.5,Non-Sensitizer
Benchmark_Compound_0751 (CAS 200751-1),O=CC=CC1=CC=CC=C1,19.9,1365.3,-6.77,12.8,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0752 (CAS 200752-2),O=CC=CC1=CC=CC=C1,89.9,1007.1,-4.7,86.1,Non-Sensitizer
Benchmark_Compound_0753 (CAS 200753-3),O=CC=CC1=CC=CC=C1,63.4,1245.6,-7.01,50.2,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0754 (CAS 200754-4),O=CC=CC1=CC=CC=C1,38.5,1319.7,-7.45,11.5,Non-Sensitizer
Benchmark_Compound_0755 (CAS 200755-5),O=CC=CC1=CC=CC=C1,21.8,861.9,-7.48,56.7,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0756 (CAS 200756-6),O=CC=CC1=CC=CC=C1,77.5,781.0,-6.62,44.2,Non-Sensitizer
Benchmark_Compound_0757 (CAS 200757-7),O=CC=CC1=CC=CC=C1,62.7,651.3,-6.14,87.5,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0758 (CAS 200758-8),O=CC=CC1=CC=CC=C1,55.3,482.3,-3.93,24.2,Non-Sensitizer
Benchmark_Compound_0759 (CAS 200759-9),O=CC=CC1=CC=CC=C1,86.0,657.5,-7.84,82.7,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0760 (CAS 200760-0),O=CC=CC1=CC=CC=C1,77.0,1163.1,-4.46,57.4,Non-Sensitizer
Benchmark_Compound_0761 (CAS 200761-1),O=CC=CC1=CC=CC=C1,22.9,906.9,-5.58,10.1,Sensitizer (Cat. 1A/1B)
